x,y,v
-9.754787,5.586155,5.205
-9.705275,5.593347,5.242
-9.655720,5.600239,5.280
-9.606125,5.606835,5.317
-9.556492,5.613141,5.354
-9.506824,5.619161,5.391
-9.457122,5.624901,5.427
-9.407390,5.630365,5.463
-9.357628,5.635559,5.499
-9.307840,5.640488,5.535
-9.258026,5.645157,5.570
-9.208189,5.649569,5.606
-9.158331,5.653732,5.641
-9.108453,5.657648,5.675
-9.058556,5.661323,5.710
-9.008642,5.664762,5.744
-8.958714,5.667969,5.779
-8.908771,5.670950,5.813
-8.858815,5.673708,5.846
-8.808848,5.676249,5.880
-8.758870,5.678577,5.913
-8.708883,5.680697,5.947
-8.658888,5.682613,5.980
-8.608886,5.684330,6.000
-8.558877,5.685853,6.000
-8.508863,5.687187,6.000
-8.458844,5.688335,6.000
-8.408822,5.689303,6.000
-8.358796,5.690095,6.000
-8.308768,5.690716,6.000
-8.258738,5.691170,6.000
-8.208707,5.691462,6.000
-8.158676,5.691596,6.000
-8.108644,5.691577,6.000
-8.058612,5.691409,6.000
-8.008582,5.691098,6.000
-7.958552,5.690646,6.000
-7.908523,5.690059,6.000
