t,v,obs_n,obs_d,obs_x,obs_y,obs_r,raw_n,raw_d,raw_far,dyn_d,mode,scale,reason,fgm_en,fgm_ang,path_n,path_age,override,aeb,ttc,steer,cmd_v,scan_age,obs_age
2.326,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.38,3.00,0.0439,0.0148
2.343,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.85,3.00,0.0347,0.0316
2.357,0.000,0,,,,,1,0.559,0.559,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.61,3.00,0.0493,0.0140
2.377,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.61,3.00,0.0434,0.0163
2.397,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.57,3.00,0.0391,0.0096
2.421,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.57,3.00,0.0370,0.0082
2.438,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.68,3.00,0.0298,0.0005
2.457,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,19.69,3.00,0.0496,0.0203
2.477,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,19.69,3.00,0.0428,0.0126
2.499,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,16.55,3.00,0.0415,0.0132
2.517,0.000,0,,,,,1,0.566,0.566,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,16.55,3.00,0.0336,0.0026
2.537,0.000,0,,,,,1,0.566,0.566,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.41,3.00,0.0261,0.0228
2.557,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.55,3.00,0.0461,0.0191
2.577,0.000,0,,,,,1,0.555,0.555,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,17.32,3.00,0.0427,0.0149
2.597,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,17.32,3.00,0.0400,0.0110
2.624,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.38,3.00,0.0411,0.0381
2.639,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.38,3.00,0.0281,0.0009
2.657,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.26,3.00,0.0465,0.0193
2.677,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,20.50,3.00,0.0423,0.0136
2.697,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.97,3.00,0.0385,0.0119
2.718,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.97,3.00,0.0355,0.0065
2.737,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.78,3.00,0.0287,0.0255
2.758,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.78,3.00,0.0491,0.0193
2.777,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.26,3.00,0.0426,0.0153
2.797,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.09,3.00,0.0372,0.0113
2.818,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.09,3.00,0.0355,0.0068
2.837,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.63,3.00,0.0256,0.0261
2.857,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.10,3.00,0.0457,0.0193
2.877,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.51,3.00,0.0433,0.0137
2.897,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.51,3.00,0.0362,0.0107
2.918,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,17.77,3.00,0.0348,0.0077
2.937,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,17.77,3.00,0.0291,0.0264
2.958,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.25,3.00,0.0498,0.0204
2.977,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.20,3.00,0.0429,0.0137
2.997,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.68,3.00,0.0369,0.0109
3.017,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.68,3.00,0.0340,0.0060
3.039,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.43,3.00,0.0556,0.0276
3.057,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.40,3.00,0.0500,0.0171
3.077,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.40,3.00,0.0440,0.0123
3.097,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.44,3.00,0.0385,0.0079
3.117,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.44,3.00,0.0347,0.0281
3.137,0.000,0,,,,,1,0.563,0.563,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.24,3.00,0.0286,0.0194
3.158,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.95,3.00,0.0492,0.0195
3.177,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.30,3.00,0.0426,0.0156
3.197,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.30,3.00,0.0390,0.0095
3.217,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.24,3.00,0.0350,0.0007
3.237,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.38,3.00,0.0292,0.0205
3.257,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.38,3.00,0.0489,0.0116
3.277,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,17.18,3.00,0.0449,0.0108
3.297,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.09,3.00,0.0393,0.0066
3.317,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.09,3.00,0.0349,0.0266
3.338,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,21.40,3.00,0.0298,0.0073
3.357,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,16.62,3.00,0.0494,0.0162
3.377,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,16.62,3.00,0.0435,0.0152
3.398,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,19.39,3.00,0.0399,0.0099
3.418,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,19.39,3.00,0.0334,0.0047
3.438,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,17.97,3.00,0.0301,0.0006
3.457,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.46,3.00,0.0498,0.0203
3.477,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.36,3.00,0.0437,0.0163
3.497,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.36,3.00,0.0396,0.0102
3.517,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.39,3.00,0.0341,0.0060
3.537,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.39,3.00,0.0295,0.0006
3.558,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,19.07,3.00,0.0504,0.0215
3.577,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.48,3.00,0.0441,0.0143
3.597,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.61,3.00,0.0399,0.0105
3.617,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.61,3.00,0.0342,0.0034
3.637,0.000,0,,,,,1,0.547,0.547,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.48,3.00,0.0289,0.0021
3.657,0.000,0,,,,,1,0.547,0.547,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.49,3.00,0.0486,0.0218
3.677,0.000,0,,,,,1,0.554,0.554,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.49,3.00,0.0445,0.0142
3.697,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.60,3.00,0.0370,0.0118
3.717,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,20.41,3.00,0.0344,0.0023
3.737,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,20.41,3.00,0.0275,0.0224
3.757,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.26,3.00,0.0475,0.0173
3.778,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.26,3.00,0.0434,0.0155
3.798,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,16.85,3.00,0.0382,0.0125
3.817,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.39,3.00,0.0351,0.0015
3.837,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,17.95,3.00,0.0293,0.0212
3.857,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,17.95,3.00,0.0492,0.0189
3.877,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.36,3.00,0.0436,0.0140
3.897,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.34,3.00,0.0378,0.0104
3.917,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.34,3.00,0.0337,0.0042
3.938,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,19.75,3.00,0.0303,0.0008
3.957,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.14,3.00,0.0499,0.0204
3.977,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.14,3.00,0.0438,0.0153
3.997,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,19.62,3.00,0.0388,0.0088
4.017,0.000,0,,,,,1,0.554,0.554,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.35,3.00,0.0341,0.0043
4.037,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.35,3.00,0.0303,0.0007
4.057,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,17.74,3.00,0.0500,0.0204
