x,y,v
-3.874300,3.049565,2.887
-3.923901,3.055623,2.892
-3.973471,3.061931,2.898
-4.023008,3.068487,2.903
-4.072512,3.075291,2.909
-4.121982,3.082341,2.914
-4.171416,3.089637,2.920
-4.220813,3.097177,2.926
-4.270173,3.104961,2.931
-4.319493,3.112986,2.937
-4.368774,3.121253,2.944
-4.418014,3.129760,2.950
-4.467212,3.138505,2.957
-4.516368,3.147489,2.965
-4.565479,3.156709,2.973
-4.614546,3.166164,2.983
-4.663567,3.175855,2.993
-4.712541,3.185778,3.000
-4.761467,3.195934,3.000
-4.810345,3.206320,3.000
-4.859174,3.216937,3.000
-4.907953,3.227781,3.000
-4.956680,3.238854,3.000
-5.005356,3.250149,3.000
-5.053981,3.261663,3.000
-5.102555,3.273390,3.000
-5.151078,3.285324,3.000
-5.199552,3.297459,3.000
-5.247975,3.309792,3.000
-5.296350,3.322315,3.000
-5.344676,3.335025,3.000
-5.392954,3.347915,3.000
-5.441185,3.360981,3.000
-5.489370,3.374217,3.000
-5.537509,3.387618,3.000
-5.585603,3.401180,3.000
-5.633653,3.414897,3.000
-5.681660,3.428763,3.000
-5.729625,3.442773,3.000
-5.777549,3.456924,2.994
-5.825433,3.471209,2.985
-5.873278,3.485624,2.975
-5.921085,3.500163,2.966
-5.968856,3.514823,2.956
-6.016591,3.529597,2.947
-6.064292,3.544481,2.937
-6.111961,3.559469,2.928
-6.159598,3.574557,2.918
-6.207206,3.589739,2.908
-6.254784,3.605010,2.899
-6.302336,3.620367,2.889
-6.349861,3.635802,2.879
-6.397363,3.651312,2.869
-6.444842,3.666891,2.860
-6.492299,3.682535,2.850
-6.539737,3.698238,2.840
-6.587157,3.713996,2.830
-6.634560,3.729804,2.820
-6.681948,3.745656,2.810
-6.729323,3.761549,2.800
-6.776686,3.777478,2.790
-6.824038,3.793437,2.780
-6.871381,3.809424,2.770
-6.918717,3.825433,2.759
-6.966046,3.841459,2.749
-7.013371,3.857499,2.739
-7.060694,3.873548,2.729
-7.108014,3.889601,2.718
-7.155335,3.905654,2.708
-7.202657,3.921703,2.698
-7.249982,3.937743,2.687
-7.297312,3.953769,2.677
-7.344648,3.969776,2.666
-7.391992,3.985761,2.656
-7.439345,4.001718,2.645
-7.486709,4.017642,2.634
-7.534086,4.033528,2.624
-7.581477,4.049371,2.613
-7.628884,4.065167,2.602
-7.676309,4.080910,2.591
-7.723753,4.096595,2.581
-7.771218,4.112217,2.570
-7.818705,4.127770,2.559
-7.866217,4.143250,2.548
-7.913754,4.158650,2.537
-7.961318,4.173967,2.525
-8.008911,4.189193,2.514
-8.056534,4.204325,2.503
-8.104189,4.219356,2.492
-8.151878,4.234280,2.481
-8.199601,4.249093,2.469
-8.247361,4.263789,2.458
-8.295158,4.278361,2.446
-8.342995,4.292805,2.435
-8.390872,4.307113,2.423
-8.438790,4.321282,2.412
-8.486752,4.335303,2.400
-8.534759,4.349172,2.388
-8.582811,4.362882,2.376
-8.630909,4.376427,2.365
-8.679056,4.389800,2.353
-8.727252,4.402995,2.341
-8.775498,4.416005,2.329
-8.823794,4.428826,2.316
-8.872143,4.441450,2.304
-8.920544,4.453871,2.292
-8.968999,4.466082,2.280
-9.017507,4.478076,2.267
-9.066070,4.489847,2.255
-9.114689,4.501388,2.243
-9.163363,4.512691,2.230
-9.212094,4.523746,2.217
-9.260884,4.534542,2.205
-9.309730,4.545077,2.192
-9.358633,4.555346,2.179
-9.407593,4.565340,2.166
-9.456609,4.575051,2.153
-9.505682,4.584472,2.140
-9.554812,4.593595,2.127
-9.603998,4.602412,2.113
-9.653239,4.610913,2.100
-9.702534,4.619091,2.087
-9.751884,4.626936,2.073
-9.801287,4.634440,2.060
-9.850742,4.641593,2.046
-9.900247,4.648386,2.032
-9.949802,4.654809,2.018
-9.999408,4.660826,2.004
-10.049060,4.666451,1.990
-10.098755,4.671675,1.976
-10.148493,4.676487,1.962
-10.198269,4.680878,1.947
-10.248081,4.684836,1.933
-10.297927,4.688352,1.918
-10.347802,4.691414,1.904
-10.397704,4.694013,1.889
-10.447628,4.696137,1.874
-10.497572,4.697750,1.859
-10.547529,4.698846,1.844
-10.597495,4.699434,1.828
-10.647464,4.699502,1.813
-10.697432,4.699039,1.797
-10.747391,4.698036,1.782
-10.797336,4.696482,1.766
-10.847261,4.694367,1.750
-10.897158,4.691672,1.734
-10.947016,4.688343,1.717
-10.996831,4.684419,1.701
-11.046595,4.679893,1.684
-11.096300,4.674757,1.667
-11.145937,4.669000,1.650
-11.195497,4.662615,1.633
-11.244970,4.655591,1.616
-11.294341,4.647883,1.599
-11.343600,4.639483,1.581
-11.392739,4.630412,1.563
-11.441747,4.620660,1.545
-11.490613,4.610214,1.527
-11.539322,4.599062,1.508
-11.587861,4.587190,1.489
-11.636200,4.574531,1.470
-11.684326,4.561083,1.451
-11.732229,4.546864,1.432
-11.779893,4.531860,1.412
-11.827297,4.516055,1.392
-11.874418,4.499424,1.371
-11.921196,4.481854,1.351
-11.967627,4.463384,1.330
-12.013693,4.444023,1.308
-12.059349,4.423712,1.287
-12.104540,4.402388,1.265
-12.149127,4.379830,1.242
-12.193106,4.356106,1.220
-12.236400,4.331155,1.196
-12.278884,4.304849,1.175
-12.320517,4.277214,1.156
-12.361224,4.248233,1.141
-12.400747,4.217658,1.128
-12.439211,4.185760,1.118
-12.476573,4.152579,1.112
-12.512442,4.117788,1.109
-12.546994,4.081690,1.109
-12.580113,4.044272,1.113
-12.611702,4.005554,1.120
-12.641831,3.965690,1.130
-12.670237,3.924580,1.143
-12.697220,3.882522,1.160
-12.722884,3.839647,1.179
-12.747067,3.795919,1.201
-12.769904,3.751473,1.227
-12.791613,3.706466,1.254
-12.812243,3.660954,1.284
-12.831759,3.614953,1.315
-12.850089,3.568467,1.347
-12.867437,3.521606,1.380
-12.883830,3.474402,1.413
-12.899265,3.426876,1.446
-12.913820,3.379073,1.477
-12.927602,3.331042,1.506
-12.940640,3.282803,1.533
-12.952907,3.234363,1.558
-12.964445,3.185744,1.579
-12.975280,3.136963,1.596
-12.985377,3.088025,1.611
-12.994708,3.038934,1.622
-13.003301,2.989709,1.630
-13.011151,2.940360,1.635
-13.018252,2.890898,1.639
-13.024597,2.841333,1.641
-13.030178,2.791676,1.642
-13.034986,2.741938,1.641
-13.039016,2.692132,1.641
-13.042258,2.642268,1.640
-13.044705,2.592358,1.639
-13.046361,2.542416,1.638
-13.047204,2.492454,1.637
-13.047219,2.442484,1.636
-13.046448,2.392521,1.636
-13.044894,2.342576,1.635
-13.042561,2.292661,1.634
-13.039451,2.242788,1.633
-13.035569,2.192970,1.631
-13.030915,2.143217,1.629
-13.025491,2.093543,1.626
-13.019299,2.043959,1.622
-13.012336,1.994477,1.617
-13.004604,1.945109,1.611
-12.996063,1.895875,1.603
-12.986726,1.846786,1.594
-12.976607,1.797852,1.583
-12.965699,1.749088,1.571
-12.953998,1.700507,1.557
-12.941502,1.652126,1.542
-12.928202,1.603959,1.526
-12.914094,1.556022,1.507
-12.899168,1.508334,1.488
-12.883410,1.460914,1.469
-12.866767,1.413798,1.450
-12.849191,1.367021,1.431
-12.830692,1.320603,1.412
-12.811219,1.274583,1.395
-12.790750,1.228999,1.379
-12.769286,1.183874,1.364
-12.746819,1.139240,1.353
-12.723155,1.095229,1.343
-12.698367,1.051842,1.337
-12.672438,1.009126,1.333
-12.645411,0.967097,1.333
-12.617273,0.925802,1.336
-12.587978,0.885321,1.342
-12.557641,0.845614,1.352
-12.526296,0.806698,1.365
-12.494008,0.768561,1.381
-12.460846,0.731182,1.401
-12.426813,0.694594,1.423
-12.392015,0.658732,1.449
-12.356482,0.623599,1.476
-12.320280,0.589156,1.507
-12.283480,0.555351,1.539
-12.246120,0.522168,1.570
-12.208209,0.489614,1.601
-12.169793,0.457658,1.632
-12.130937,0.426240,1.662
-12.091658,0.395352,1.691
-12.051936,0.365034,1.720
-12.011839,0.335215,1.748
